"city","city_slug","category","category_slug","listing_count","under_12","under_3","indexable"
"Pensacola, FL","pensacola-fl","HVAC","hvac","12","no","no","yes"
"Pensacola, FL","pensacola-fl","Plumbing","plumbing","12","no","no","yes"
"Pensacola, FL","pensacola-fl","Auto mechanics","auto-mechanics","12","no","no","yes"
"Pensacola, FL","pensacola-fl","Roofing","roofing","12","no","no","yes"
"Pensacola, FL","pensacola-fl","Electrical","electrical","12","no","no","yes"
"Pensacola, FL","pensacola-fl","Lawn care","lawn-care","1","yes","yes","no"
"Pensacola, FL","pensacola-fl","Pest control","pest-control","12","no","no","yes"
"Pensacola, FL","pensacola-fl","House cleaning","house-cleaning","1","yes","yes","no"
"Pensacola, FL","pensacola-fl","Landscaping","landscaping","12","no","no","yes"
"Pensacola, FL","pensacola-fl","Tree service","tree-service","12","no","no","yes"
"Pensacola, FL","pensacola-fl","Garage door repair","garage-door-repair","1","yes","yes","no"
"Pensacola, FL","pensacola-fl","Locksmith","locksmith","1","yes","yes","no"
"Pensacola, FL","pensacola-fl","Appliance repair","appliance-repair","1","yes","yes","no"
"Pensacola, FL","pensacola-fl","Movers","movers","1","yes","yes","no"
"Pensacola, FL","pensacola-fl","Handyman","handyman","12","no","no","yes"
"Pensacola, FL","pensacola-fl","Painting","painting","10","yes","no","yes"
"Pensacola, FL","pensacola-fl","Pool service","pool-service","12","no","no","yes"
"Pensacola, FL","pensacola-fl","Kitchen & bath remodeling","kitchen-bath-remodeling","12","no","no","yes"
"Pensacola, FL","pensacola-fl","Flooring","flooring","1","yes","yes","no"
"Pensacola, FL","pensacola-fl","Towing","towing","1","yes","yes","no"
"Pensacola, FL","pensacola-fl","Auto body & collision","auto-body-collision","1","yes","yes","no"
"Pensacola, FL","pensacola-fl","Fence builders","fence-builders","12","no","no","yes"
"Pensacola, FL","pensacola-fl","Junk removal","junk-removal","1","yes","yes","no"
"Pensacola, FL","pensacola-fl","Water damage & mold remediation","water-damage-mold-remediation","12","no","no","yes"
"Pensacola, FL","pensacola-fl","Concrete & driveways","concrete","12","no","no","yes"
"Pensacola, FL","pensacola-fl","Gutters","gutters","1","yes","yes","no"
"Pensacola, FL","pensacola-fl","Carpet cleaning","carpet-cleaning","1","yes","yes","no"
"Pensacola, FL","pensacola-fl","Pressure washing","pressure-washing","10","yes","no","yes"
"Pensacola, FL","pensacola-fl","Septic services","septic-services","1","yes","yes","no"
"Pensacola, FL","pensacola-fl","Pool installation","pool-installation","12","no","no","yes"
"Pensacola, FL","pensacola-fl","Window tinting","window-tinting","12","no","no","yes"
"Pensacola, FL","pensacola-fl","Generator installation","generator-installation","12","no","no","yes"
"Pensacola, FL","pensacola-fl","Insulation","insulation","12","no","no","yes"
"Pensacola, FL","pensacola-fl","Marine services","marine-services","12","no","no","yes"
"Pensacola, FL","pensacola-fl","Screen enclosures & pool cages","screen-enclosures-pool-cages","12","no","no","yes"
"Pensacola, FL","pensacola-fl","Hurricane shutters & impact windows","hurricane-shutters-impact-windows","12","no","no","yes"
"Pensacola, FL","pensacola-fl","Trading card stores","trading-card-stores","10","yes","no","yes"
"Gulf Breeze, FL","gulf-breeze-fl","HVAC","hvac","12","no","no","yes"
"Gulf Breeze, FL","gulf-breeze-fl","Plumbing","plumbing","12","no","no","yes"
"Gulf Breeze, FL","gulf-breeze-fl","Auto mechanics","auto-mechanics","12","no","no","yes"
"Gulf Breeze, FL","gulf-breeze-fl","Roofing","roofing","12","no","no","yes"
"Gulf Breeze, FL","gulf-breeze-fl","Electrical","electrical","12","no","no","yes"
"Gulf Breeze, FL","gulf-breeze-fl","Lawn care","lawn-care","1","yes","yes","no"
"Gulf Breeze, FL","gulf-breeze-fl","Pest control","pest-control","12","no","no","yes"
"Gulf Breeze, FL","gulf-breeze-fl","House cleaning","house-cleaning","1","yes","yes","no"
"Gulf Breeze, FL","gulf-breeze-fl","Landscaping","landscaping","12","no","no","yes"
"Gulf Breeze, FL","gulf-breeze-fl","Tree service","tree-service","12","no","no","yes"
"Gulf Breeze, FL","gulf-breeze-fl","Garage door repair","garage-door-repair","1","yes","yes","no"
"Gulf Breeze, FL","gulf-breeze-fl","Locksmith","locksmith","1","yes","yes","no"
"Gulf Breeze, FL","gulf-breeze-fl","Appliance repair","appliance-repair","1","yes","yes","no"
"Gulf Breeze, FL","gulf-breeze-fl","Movers","movers","1","yes","yes","no"
"Gulf Breeze, FL","gulf-breeze-fl","Handyman","handyman","12","no","no","yes"
"Gulf Breeze, FL","gulf-breeze-fl","Painting","painting","10","yes","no","yes"
"Gulf Breeze, FL","gulf-breeze-fl","Pool service","pool-service","12","no","no","yes"
"Gulf Breeze, FL","gulf-breeze-fl","Kitchen & bath remodeling","kitchen-bath-remodeling","12","no","no","yes"
"Gulf Breeze, FL","gulf-breeze-fl","Flooring","flooring","1","yes","yes","no"
"Gulf Breeze, FL","gulf-breeze-fl","Towing","towing","1","yes","yes","no"
"Gulf Breeze, FL","gulf-breeze-fl","Auto body & collision","auto-body-collision","1","yes","yes","no"
"Gulf Breeze, FL","gulf-breeze-fl","Fence builders","fence-builders","12","no","no","yes"
"Gulf Breeze, FL","gulf-breeze-fl","Junk removal","junk-removal","1","yes","yes","no"
"Gulf Breeze, FL","gulf-breeze-fl","Water damage & mold remediation","water-damage-mold-remediation","12","no","no","yes"
"Gulf Breeze, FL","gulf-breeze-fl","Concrete & driveways","concrete","12","no","no","yes"
"Gulf Breeze, FL","gulf-breeze-fl","Gutters","gutters","1","yes","yes","no"
"Gulf Breeze, FL","gulf-breeze-fl","Carpet cleaning","carpet-cleaning","1","yes","yes","no"
"Gulf Breeze, FL","gulf-breeze-fl","Pressure washing","pressure-washing","10","yes","no","yes"
"Gulf Breeze, FL","gulf-breeze-fl","Septic services","septic-services","1","yes","yes","no"
"Gulf Breeze, FL","gulf-breeze-fl","Pool installation","pool-installation","12","no","no","yes"
"Gulf Breeze, FL","gulf-breeze-fl","Window tinting","window-tinting","12","no","no","yes"
"Gulf Breeze, FL","gulf-breeze-fl","Generator installation","generator-installation","12","no","no","yes"
"Gulf Breeze, FL","gulf-breeze-fl","Insulation","insulation","12","no","no","yes"
"Gulf Breeze, FL","gulf-breeze-fl","Marine services","marine-services","12","no","no","yes"
"Gulf Breeze, FL","gulf-breeze-fl","Screen enclosures & pool cages","screen-enclosures-pool-cages","12","no","no","yes"
"Gulf Breeze, FL","gulf-breeze-fl","Hurricane shutters & impact windows","hurricane-shutters-impact-windows","12","no","no","yes"
"Gulf Breeze, FL","gulf-breeze-fl","Trading card stores","trading-card-stores","10","yes","no","yes"
"Navarre, FL","navarre-fl","HVAC","hvac","12","no","no","yes"
"Navarre, FL","navarre-fl","Plumbing","plumbing","12","no","no","yes"
"Navarre, FL","navarre-fl","Auto mechanics","auto-mechanics","12","no","no","yes"
"Navarre, FL","navarre-fl","Roofing","roofing","12","no","no","yes"
"Navarre, FL","navarre-fl","Electrical","electrical","12","no","no","yes"
"Navarre, FL","navarre-fl","Lawn care","lawn-care","1","yes","yes","no"
"Navarre, FL","navarre-fl","Pest control","pest-control","12","no","no","yes"
"Navarre, FL","navarre-fl","House cleaning","house-cleaning","1","yes","yes","no"
"Navarre, FL","navarre-fl","Landscaping","landscaping","12","no","no","yes"
"Navarre, FL","navarre-fl","Tree service","tree-service","12","no","no","yes"
"Navarre, FL","navarre-fl","Garage door repair","garage-door-repair","1","yes","yes","no"
"Navarre, FL","navarre-fl","Locksmith","locksmith","1","yes","yes","no"
"Navarre, FL","navarre-fl","Appliance repair","appliance-repair","1","yes","yes","no"
"Navarre, FL","navarre-fl","Movers","movers","1","yes","yes","no"
"Navarre, FL","navarre-fl","Handyman","handyman","12","no","no","yes"
"Navarre, FL","navarre-fl","Painting","painting","10","yes","no","yes"
"Navarre, FL","navarre-fl","Pool service","pool-service","12","no","no","yes"
"Navarre, FL","navarre-fl","Kitchen & bath remodeling","kitchen-bath-remodeling","12","no","no","yes"
"Navarre, FL","navarre-fl","Flooring","flooring","1","yes","yes","no"
"Navarre, FL","navarre-fl","Towing","towing","1","yes","yes","no"
"Navarre, FL","navarre-fl","Auto body & collision","auto-body-collision","1","yes","yes","no"
"Navarre, FL","navarre-fl","Fence builders","fence-builders","12","no","no","yes"
"Navarre, FL","navarre-fl","Junk removal","junk-removal","1","yes","yes","no"
"Navarre, FL","navarre-fl","Water damage & mold remediation","water-damage-mold-remediation","12","no","no","yes"
"Navarre, FL","navarre-fl","Concrete & driveways","concrete","12","no","no","yes"
"Navarre, FL","navarre-fl","Gutters","gutters","1","yes","yes","no"
"Navarre, FL","navarre-fl","Carpet cleaning","carpet-cleaning","1","yes","yes","no"
"Navarre, FL","navarre-fl","Pressure washing","pressure-washing","10","yes","no","yes"
"Navarre, FL","navarre-fl","Septic services","septic-services","1","yes","yes","no"
"Navarre, FL","navarre-fl","Pool installation","pool-installation","12","no","no","yes"
"Navarre, FL","navarre-fl","Window tinting","window-tinting","12","no","no","yes"
"Navarre, FL","navarre-fl","Generator installation","generator-installation","12","no","no","yes"
"Navarre, FL","navarre-fl","Insulation","insulation","12","no","no","yes"
"Navarre, FL","navarre-fl","Marine services","marine-services","12","no","no","yes"
"Navarre, FL","navarre-fl","Screen enclosures & pool cages","screen-enclosures-pool-cages","12","no","no","yes"
"Navarre, FL","navarre-fl","Hurricane shutters & impact windows","hurricane-shutters-impact-windows","12","no","no","yes"
"Navarre, FL","navarre-fl","Trading card stores","trading-card-stores","10","yes","no","yes"
"Perdido Key, FL","perdido-key-fl","HVAC","hvac","12","no","no","yes"
"Perdido Key, FL","perdido-key-fl","Plumbing","plumbing","12","no","no","yes"
"Perdido Key, FL","perdido-key-fl","Auto mechanics","auto-mechanics","12","no","no","yes"
"Perdido Key, FL","perdido-key-fl","Roofing","roofing","12","no","no","yes"
"Perdido Key, FL","perdido-key-fl","Electrical","electrical","12","no","no","yes"
"Perdido Key, FL","perdido-key-fl","Lawn care","lawn-care","1","yes","yes","no"
"Perdido Key, FL","perdido-key-fl","Pest control","pest-control","12","no","no","yes"
"Perdido Key, FL","perdido-key-fl","House cleaning","house-cleaning","1","yes","yes","no"
"Perdido Key, FL","perdido-key-fl","Landscaping","landscaping","12","no","no","yes"
"Perdido Key, FL","perdido-key-fl","Tree service","tree-service","12","no","no","yes"
"Perdido Key, FL","perdido-key-fl","Garage door repair","garage-door-repair","1","yes","yes","no"
"Perdido Key, FL","perdido-key-fl","Locksmith","locksmith","1","yes","yes","no"
"Perdido Key, FL","perdido-key-fl","Appliance repair","appliance-repair","1","yes","yes","no"
"Perdido Key, FL","perdido-key-fl","Movers","movers","1","yes","yes","no"
"Perdido Key, FL","perdido-key-fl","Handyman","handyman","12","no","no","yes"
"Perdido Key, FL","perdido-key-fl","Painting","painting","10","yes","no","yes"
"Perdido Key, FL","perdido-key-fl","Pool service","pool-service","12","no","no","yes"
"Perdido Key, FL","perdido-key-fl","Kitchen & bath remodeling","kitchen-bath-remodeling","12","no","no","yes"
"Perdido Key, FL","perdido-key-fl","Flooring","flooring","1","yes","yes","no"
"Perdido Key, FL","perdido-key-fl","Towing","towing","1","yes","yes","no"
"Perdido Key, FL","perdido-key-fl","Auto body & collision","auto-body-collision","1","yes","yes","no"
"Perdido Key, FL","perdido-key-fl","Fence builders","fence-builders","12","no","no","yes"
"Perdido Key, FL","perdido-key-fl","Junk removal","junk-removal","1","yes","yes","no"
"Perdido Key, FL","perdido-key-fl","Water damage & mold remediation","water-damage-mold-remediation","12","no","no","yes"
"Perdido Key, FL","perdido-key-fl","Concrete & driveways","concrete","12","no","no","yes"
"Perdido Key, FL","perdido-key-fl","Gutters","gutters","1","yes","yes","no"
"Perdido Key, FL","perdido-key-fl","Carpet cleaning","carpet-cleaning","1","yes","yes","no"
"Perdido Key, FL","perdido-key-fl","Pressure washing","pressure-washing","10","yes","no","yes"
"Perdido Key, FL","perdido-key-fl","Septic services","septic-services","1","yes","yes","no"
"Perdido Key, FL","perdido-key-fl","Pool installation","pool-installation","12","no","no","yes"
"Perdido Key, FL","perdido-key-fl","Window tinting","window-tinting","12","no","no","yes"
"Perdido Key, FL","perdido-key-fl","Generator installation","generator-installation","12","no","no","yes"
"Perdido Key, FL","perdido-key-fl","Insulation","insulation","12","no","no","yes"
"Perdido Key, FL","perdido-key-fl","Marine services","marine-services","12","no","no","yes"
"Perdido Key, FL","perdido-key-fl","Screen enclosures & pool cages","screen-enclosures-pool-cages","12","no","no","yes"
"Perdido Key, FL","perdido-key-fl","Hurricane shutters & impact windows","hurricane-shutters-impact-windows","12","no","no","yes"
"Perdido Key, FL","perdido-key-fl","Trading card stores","trading-card-stores","10","yes","no","yes"
"Orange Beach, AL","orange-beach-al","HVAC","hvac","12","no","no","yes"
"Orange Beach, AL","orange-beach-al","Plumbing","plumbing","12","no","no","yes"
"Orange Beach, AL","orange-beach-al","Auto mechanics","auto-mechanics","12","no","no","yes"
"Orange Beach, AL","orange-beach-al","Roofing","roofing","10","yes","no","yes"
"Orange Beach, AL","orange-beach-al","Electrical","electrical","12","no","no","yes"
"Orange Beach, AL","orange-beach-al","Lawn care","lawn-care","1","yes","yes","no"
"Orange Beach, AL","orange-beach-al","Pest control","pest-control","12","no","no","yes"
"Orange Beach, AL","orange-beach-al","House cleaning","house-cleaning","1","yes","yes","no"
"Orange Beach, AL","orange-beach-al","Landscaping","landscaping","12","no","no","yes"
"Orange Beach, AL","orange-beach-al","Tree service","tree-service","12","no","no","yes"
"Orange Beach, AL","orange-beach-al","Garage door repair","garage-door-repair","1","yes","yes","no"
"Orange Beach, AL","orange-beach-al","Locksmith","locksmith","1","yes","yes","no"
"Orange Beach, AL","orange-beach-al","Appliance repair","appliance-repair","1","yes","yes","no"
"Orange Beach, AL","orange-beach-al","Movers","movers","1","yes","yes","no"
"Orange Beach, AL","orange-beach-al","Handyman","handyman","12","no","no","yes"
"Orange Beach, AL","orange-beach-al","Painting","painting","12","no","no","yes"
"Orange Beach, AL","orange-beach-al","Pool service","pool-service","12","no","no","yes"
"Orange Beach, AL","orange-beach-al","Kitchen & bath remodeling","kitchen-bath-remodeling","12","no","no","yes"
"Orange Beach, AL","orange-beach-al","Flooring","flooring","1","yes","yes","no"
"Orange Beach, AL","orange-beach-al","Towing","towing","1","yes","yes","no"
"Orange Beach, AL","orange-beach-al","Auto body & collision","auto-body-collision","1","yes","yes","no"
"Orange Beach, AL","orange-beach-al","Fence builders","fence-builders","12","no","no","yes"
"Orange Beach, AL","orange-beach-al","Junk removal","junk-removal","1","yes","yes","no"
"Orange Beach, AL","orange-beach-al","Water damage & mold remediation","water-damage-mold-remediation","12","no","no","yes"
"Orange Beach, AL","orange-beach-al","Concrete & driveways","concrete","12","no","no","yes"
"Orange Beach, AL","orange-beach-al","Gutters","gutters","1","yes","yes","no"
"Orange Beach, AL","orange-beach-al","Carpet cleaning","carpet-cleaning","1","yes","yes","no"
"Orange Beach, AL","orange-beach-al","Pressure washing","pressure-washing","12","no","no","yes"
"Orange Beach, AL","orange-beach-al","Septic services","septic-services","1","yes","yes","no"
"Orange Beach, AL","orange-beach-al","Pool installation","pool-installation","12","no","no","yes"
"Orange Beach, AL","orange-beach-al","Window tinting","window-tinting","12","no","no","yes"
"Orange Beach, AL","orange-beach-al","Generator installation","generator-installation","10","yes","no","yes"
"Orange Beach, AL","orange-beach-al","Insulation","insulation","12","no","no","yes"
"Orange Beach, AL","orange-beach-al","Marine services","marine-services","12","no","no","yes"
"Orange Beach, AL","orange-beach-al","Screen enclosures & pool cages","screen-enclosures-pool-cages","10","yes","no","yes"
"Orange Beach, AL","orange-beach-al","Hurricane shutters & impact windows","hurricane-shutters-impact-windows","10","yes","no","yes"
"Orange Beach, AL","orange-beach-al","Trading card stores","trading-card-stores","10","yes","no","yes"
"Mobile, AL","mobile-al","HVAC","hvac","12","no","no","yes"
